"filename", "language", "PHP", "JSON", "CSS", "JavaScript", "HTML", "Markdown", "XML", "comment", "blank", "total"
"c:\xampp\htdocs\farmaciaProFarma\README.md", "Markdown", 0, 0, 0, 0, 0, 41, 0, 0, 23, 64
"c:\xampp\htdocs\farmaciaProFarma\app\Common.php", "PHP", 1, 0, 0, 0, 0, 0, 0, 13, 2, 16
"c:\xampp\htdocs\farmaciaProFarma\app\Config\App.php", "PHP", 37, 0, 0, 0, 0, 0, 0, 394, 34, 465
"c:\xampp\htdocs\farmaciaProFarma\app\Config\Autoload.php", "PHP", 16, 0, 0, 0, 0, 0, 0, 70, 6, 92
"c:\xampp\htdocs\farmaciaProFarma\app\Config\Boot\development.php", "PHP", 5, 0, 0, 0, 0, 0, 0, 24, 4, 33
"c:\xampp\htdocs\farmaciaProFarma\app\Config\Boot\production.php", "PHP", 4, 0, 0, 0, 0, 0, 0, 15, 3, 22
"c:\xampp\htdocs\farmaciaProFarma\app\Config\Boot\testing.php", "PHP", 5, 0, 0, 0, 0, 0, 0, 24, 4, 33
"c:\xampp\htdocs\farmaciaProFarma\app\Config\CURLRequest.php", "PHP", 7, 0, 0, 0, 0, 0, 0, 12, 4, 23
"c:\xampp\htdocs\farmaciaProFarma\app\Config\Cache.php", "PHP", 44, 0, 0, 0, 0, 0, 0, 124, 14, 182
"c:\xampp\htdocs\farmaciaProFarma\app\Config\Constants.php", "PHP", 21, 0, 0, 0, 0, 0, 0, 54, 5, 80
"c:\xampp\htdocs\farmaciaProFarma\app\Config\ContentSecurityPolicy.php", "PHP", 25, 0, 0, 0, 0, 0, 0, 119, 24, 168
"c:\xampp\htdocs\farmaciaProFarma\app\Config\Cookie.php", "PHP", 15, 0, 0, 0, 0, 0, 0, 94, 11, 120
"c:\xampp\htdocs\farmaciaProFarma\app\Config\Database.php", "PHP", 53, 0, 0, 0, 0, 0, 0, 29, 9, 91
"c:\xampp\htdocs\farmaciaProFarma\app\Config\DocTypes.php", "PHP", 26, 0, 0, 0, 0, 0, 0, 5, 3, 34
"c:\xampp\htdocs\farmaciaProFarma\app\Config\Email.php", "PHP", 30, 0, 0, 0, 0, 0, 0, 114, 27, 171
"c:\xampp\htdocs\farmaciaProFarma\app\Config\Encryption.php", "PHP", 10, 0, 0, 0, 0, 0, 0, 51, 7, 68
"c:\xampp\htdocs\farmaciaProFarma\app\Config\Events.php", "PHP", 21, 0, 0, 0, 0, 0, 0, 22, 8, 51
"c:\xampp\htdocs\farmaciaProFarma\app\Config\Exceptions.php", "PHP", 10, 0, 0, 0, 0, 0, 0, 44, 7, 61
"c:\xampp\htdocs\farmaciaProFarma\app\Config\Feature.php", "PHP", 7, 0, 0, 0, 0, 0, 0, 17, 4, 28
"c:\xampp\htdocs\farmaciaProFarma\app\Config\Filters.php", "PHP", 27, 0, 0, 0, 0, 0, 0, 35, 7, 69
"c:\xampp\htdocs\farmaciaProFarma\app\Config\ForeignCharacters.php", "PHP", 6, 0, 0, 0, 0, 0, 0, 0, 4, 10
